,pre_2012,post_2012
A CoruÃ±a,16.413149350649352,0.6392115279279786
Aberdeen,0.0,0.3021727222932262
Abu Dhabi Emirate,0.0,0.9848592430297743
Aceh,0.0,0.0
Addis Ababa,0.0,0.0
AdÄ±yaman Province,0.0,0.0
Aichi Prefecture,0.8206574675324676,1.0454201440628552
Akershus,0.0,0.0
Akita Prefecture,0.0,0.8309749863063721
Al Asimah Governorate,0.0,0.5539833242042481
Al Daayen,0.0,0.8863733187267969
Al Rayyan Municipality,0.0,0.5539833242042481
Alabama,0.0,0.6647799890450977
Alagoas,0.0,1.208690889172905
Alaska,0.0,0.0
Albacete Province,0.0,0.41548749315318606
Alberta,1.458946608946609,0.7670538335135744
Alexandria Governorate,0.0,0.9776176309486732
Alicante Province,0.0,1.78979227819834
Almaty,0.0,0.0
AlmerÃ­a Province,0.0,0.0
Alpes-Maritimes,0.0,0.6898660263675542
AmapÃ¡,0.0,0.25568461117119146
Amazonas,0.0,0.0
Amman Governorate,0.0,0.7122642739768904
Andhra Pradesh,1.823683261183261,1.432715493631676
Anhui,0.328262987012987,1.607902819031842
Ankara Province,1.1319413345275413,1.3686646833281424
Annaba Province,0.0,0.0
Antalya Province,0.0,3.3238999452254885
Antioquia Department,0.0,1.994339967135293
Antwerp,2.051643668831169,0.43735525595072217
Aomori Prefecture,0.0,0.0
Arad County,0.0,3.3238999452254885
Ardabil Province,0.0,3.3238999452254885
Arizona,0.7890937187812188,0.7932033960197189
Arkansas,0.0,1.433839192058054
Arua District,0.0,0.41548749315318606
Assam,5.471049783549783,1.0576045280262918
Asturias,0.0,0.33238999452254886
AsunciÃ³n,0.0,0.0
Aswan Governorate,0.0,0.0
Asyut Governorate,0.0,0.8309749863063721
Attica Region,0.2605261801690373,0.480118880977015
Auckland Region,0.0,0.5070355848649051
Australian Capital Territory,2.051643668831169,1.1481410116141477
Aveiro District,0.0,0.14451738892284732
Azad Kashmir,0.0,0.0
Azores,0.0,0.0
Baden-WÃ¼rttemberg,1.458946608946609,1.1168659789178015
Baghdad Governorate,0.0,0.0
Bagmati Zone,0.0,0.0
Bahia,0.0,0.8309749863063721
Baja California,0.0,0.0
Baku,0.0,0.0
Balearic Islands,0.0,3.3238999452254885
Balqa Governorate,0.0,0.7386444322723308
Bangkok,2.7355248917748916,0.4748428493179269
Barcelona Province,0.5861839053803339,1.3182925206487532
Bas-Rhin,0.0,1.3686646833281424
Basel-Stadt,0.0,1.1966039802811759
Basra Governorate,0.0,0.0
Bath and North East Somerset,3.2826298701298704,0.6898660263675542
Batman Province,0.0,0.0
Bavaria,0.8667009558098667,0.9482745757552656
Beijing,1.313051948051948,1.5882478363922032
Beirut Governorate,4.103287337662338,0.2014484815288175
Belfast city council district,0.0,0.4359213042918674
Belgrade,3.2826298701298704,0.7914047488632115
Benevento Province,0.0,0.7386444322723308
Beni Suef Governorate,0.0,0.0
Berlin,1.4560051843317974,0.8564282741752159
Bihar,0.0,0.9065181668796787
Birmingham,1.1723678107606679,0.49858499178382326
Biscay,0.0,0.42432765258197724
Blekinge County,0.0,0.6647799890450977
BogotÃ¡,0.0,1.1331477085995982
BolÃ­var Department,0.0,1.6619499726127442
Borno State,0.0,0.0
Bouches-du-RhÃ´ne,0.6838812229437229,0.18726196874509796
Bournemouth,0.0,0.0
Bradford,0.0,1.6619499726127442
Braga District,0.0,0.5539833242042481
Brandenburg,2.3447356215213357,0.4748428493179269
Bratislava Region,0.0,0.0
Bremen,1.7585517161410018,0.6086013984215684
Brighton and Hove,0.0,0.0
Bristol,0.8416999666999667,0.4779463973526846
British Columbia,0.794184645999162,1.1440399811473776
Brunei-Muara District,0.0,0.0
Brussels-Capital Region,0.4973681621408894,0.33018873628067763
Bucharest,4.103287337662338,1.6250177509991277
Budapest,1.0821856714713858,0.1646977450336954
Buenos Aires,0.7136151891586674,0.7716196301416313
Buenos Aires Province,0.0,0.0
Bulawayo,8.206574675324676,1.6619499726127442
Burdur Province,0.0,0.0
Burgos Province,0.0,0.0
Busan,6.565259740259741,0.0
BÃ©jaÃ¯a Province,0.0,0.0
BÃ­o BÃ­o Region,0.0,1.3295599780901954
