,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
A CoruÃ±a,0.0,0.0,0.0,15.559055118110237,0.0,10.506389776357826,0.0,2.570337738619677,0.0,0.0,0.34156120445123284
Aberdeen,0.0,0.0,0.0,0.0,0.0,3.502129925452609,0.0,0.0,0.0,0.0,0.0
Abu Dhabi Emirate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38944511191207226,0.6498523331364442,1.1759792393155462,1.3662448178049313
Aceh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Addis Ababa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdÄ±yaman Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aichi Prefecture,0.0,0.0,0.0,0.0,1.10151861868109,0.0,0.0,1.557780447648289,0.7220581479293824,0.6808300859195267,1.0776015464376922
Akershus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akita Prefecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1419481155163975,0.0,0.0,0.0
Al Asimah Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3662448178049313
Al Daayen,0.0,0.0,0.0,0.0,0.0,0.0,0.9165566411407446,0.0,1.2997046662728884,0.8623847754980671,0.9563713724634518
Al Rayyan Municipality,0.0,0.0,0.0,0.0,0.0,0.0,0.7128773875539125,0.0,0.3249261665682221,0.5174308652988403,0.7128233832025728
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7139827051721325,0.8123154164205553,0.5174308652988403,0.7026401920139645
Alagoas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249261665682221,0.0,1.3662448178049313
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albacete Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5871543264942014,0.0
Alberta,0.0,0.0,0.0,0.8188976377952756,2.0253729440265205,0.3622893026330285,1.603974121996303,1.142372328275412,0.6689656370522219,0.3772933392804044,0.933045241427758
Alexandria Governorate,0.0,0.0,0.0,0.0,0.0,2.1012779552715655,1.603974121996303,0.0,0.0,0.0,2.7324896356098627
Alicante Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5871543264942014,0.9108298785366208
Almaty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlmerÃ­a Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alpes-Maritimes,0.0,0.0,0.0,0.0,0.0,0.0,2.1386321626617373,0.4283896231032795,1.2997046662728884,1.0348617305976806,0.6072199190244139
AmapÃ¡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.283896231032795,0.0,0.0,0.0
Amazonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amman Governorate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0830872218940737,0.43119238774903357,0.9108298785366208
Andhra Pradesh,0.0,0.0,6.503030303030303,0.0,0.0,0.0,0.0,0.7788902238241445,2.5994093325457768,1.4925890345158854,1.10058610323175
Anhui,0.0,0.0,0.0,1.0372703412073492,0.0,0.6566493610223642,2.2913916028518617,1.2239703517236555,1.3625936017377056,1.4156127446855065,1.655258144648282
Ankara Province,0.0,0.0,0.0,0.0,2.0928853754940713,1.1673766418175362,1.425754775107825,2.1419481155163975,1.5290643132622217,1.687274560757088,0.9644081066858339
Annaba Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antalya Province,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.249261665682221,0.0,0.0
Antioquia Department,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0830872218940737,2.5871543264942014,2.7324896356098627
Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6119851758618278,0.0,0.0,0.7807113244599607
Aomori Prefecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
